run_nb	start_time	end_time
297050	16-JUN-17 08.55.45.000000 PM	17-JUN-17 01.52.34.000000 AM
297056	17-JUN-17 05.00.46.000000 AM	17-JUN-17 06.14.58.000000 AM
297057	17-JUN-17 06.18.36.000000 AM	17-JUN-17 12.10.13.000000 PM
297099	17-JUN-17 07.23.59.000000 PM	17-JUN-17 07.38.45.000000 PM
297100	17-JUN-17 07.41.21.000000 PM	17-JUN-17 10.08.59.000000 PM
297101	17-JUN-17 10.12.26.000000 PM	18-JUN-17 05.19.48.000000 AM
297113	18-JUN-17 12.43.13.000000 PM	18-JUN-17 02.20.44.000000 PM
297114	18-JUN-17 02.21.05.000000 PM	18-JUN-17 03.23.14.000000 PM
297175	19-JUN-17 07.04.40.000000 PM	19-JUN-17 07.37.18.000000 PM
297176	19-JUN-17 07.42.18.000000 PM	19-JUN-17 09.01.10.000000 PM
297177	19-JUN-17 09.04.31.000000 PM	19-JUN-17 10.07.04.000000 PM
297178	19-JUN-17 10.09.07.000000 PM	20-JUN-17 07.06.49.000000 AM
297215	20-JUN-17 01.53.03.000000 PM	20-JUN-17 02.10.55.000000 PM
297218	20-JUN-17 02.14.26.000000 PM	20-JUN-17 02.24.32.000000 PM
297219	20-JUN-17 02.26.08.000000 PM	21-JUN-17 07.30.39.000000 AM
297224	21-JUN-17 07.56.04.000000 AM	21-JUN-17 08.45.48.000000 AM
297225	21-JUN-17 08.49.06.000000 AM	21-JUN-17 09.01.09.000000 AM
297227	21-JUN-17 09.04.44.000000 AM	21-JUN-17 10.15.50.000000 AM
297292	22-JUN-17 02.42.29.000000 AM	22-JUN-17 07.34.39.000000 AM
297293	22-JUN-17 07.41.33.000000 AM	22-JUN-17 08.39.27.000000 AM
297296	22-JUN-17 08.47.07.000000 AM	22-JUN-17 11.59.49.000000 AM
297308	22-JUN-17 12.06.46.000000 PM	22-JUN-17 12.23.28.000000 PM
297359	23-JUN-17 03.26.00.000000 AM	23-JUN-17 04.20.47.000000 AM
297411	23-JUN-17 01.35.24.000000 PM	23-JUN-17 07.32.04.000000 PM
297424	24-JUN-17 12.42.30.000000 AM	24-JUN-17 01.27.58.000000 AM
297425	24-JUN-17 01.29.39.000000 AM	24-JUN-17 02.30.15.000000 AM
297426	24-JUN-17 02.30.35.000000 AM	24-JUN-17 03.13.19.000000 AM
297429	24-JUN-17 03.24.59.000000 AM	24-JUN-17 03.52.32.000000 AM
297430	24-JUN-17 04.03.47.000000 AM	24-JUN-17 05.20.43.000000 AM
297431	24-JUN-17 05.23.08.000000 AM	24-JUN-17 06.35.47.000000 AM
297432	24-JUN-17 06.36.25.000000 AM	24-JUN-17 07.19.31.000000 AM
297433	24-JUN-17 07.41.47.000000 AM	24-JUN-17 08.43.10.000000 AM
297434	24-JUN-17 08.43.19.000000 AM	24-JUN-17 09.45.27.000000 AM
297435	24-JUN-17 09.45.40.000000 AM	24-JUN-17 10.21.48.000000 AM
297467	24-JUN-17 07.48.19.000000 PM	24-JUN-17 08.22.30.000000 PM
297468	24-JUN-17 08.28.57.000000 PM	24-JUN-17 08.57.18.000000 PM
297469	24-JUN-17 09.02.04.000000 PM	24-JUN-17 09.28.52.000000 PM
297483	25-JUN-17 05.36.28.000000 AM	25-JUN-17 06.45.14.000000 AM
297484	25-JUN-17 06.47.17.000000 AM	25-JUN-17 08.10.02.000000 AM
297485	25-JUN-17 08.17.19.000000 AM	25-JUN-17 11.00.06.000000 AM
