#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
272007:4879,04/28/16 22:38:11,6,1,0.000028339,0.000000189
272008:4879,04/28/16 22:40:26,31,31,0.000146981,0.000135046
272010:4879,04/28/16 22:59:33,24,24,0.000112211,0.000101590
272011:4879,04/28/16 23:11:45,187,179,0.000834843,0.000730145
272012:4879,04/29/16 00:32:26,193,189,0.000964703,0.000816207
272014:4879,04/29/16 01:56:35,112,103,0.000541374,0.000406719
272016:4879,04/29/16 02:52:57,42,33,0.000198685,0.000134153
272017:4879,04/29/16 03:11:32,2,2,0.000009420,0.000007833
272019:4879,04/29/16 03:40:59,22,18,0.000101676,0.000077728
272021:4879,04/29/16 03:57:44,125,123,0.000566202,0.000445493
272022:4879,04/29/16 05:05:06,69,69,0.000256815,0.000227999
272760:4888,05/06/16 23:47:16,21,18,0.000002861,0.000001901
272761:4888,05/06/16 23:55:23,85,78,0.000014963,0.000010771
272762:4888,05/07/16 00:28:08,108,108,0.000018427,0.000015414
272774:4889,05/07/16 03:50:03,14,12,0.000057156,0.000039778
272775:4889,05/07/16 03:56:32,204,204,0.000857186,0.000693144
272776:4889,05/07/16 05:18:51,105,105,0.000397043,0.000357365
272782:4890,05/07/16 10:17:47,34,34,0.000140987,0.000106769
272783:4890,05/07/16 10:34:03,151,149,0.000615274,0.000545740
272784:4890,05/07/16 11:33:35,305,298,0.001168938,0.001013900
272785:4890,05/07/16 13:31:50,149,144,0.000543897,0.000474634
272786:4890,05/07/16 14:29:31,59,59,0.000211397,0.000190811
272798:4892,05/07/16 18:58:40,1710,1710,0.007979647,0.007362653
272811:4895,05/08/16 14:55:39,95,91,0.002142062,0.001747912
272812:4895,05/08/16 15:33:21,380,372,0.008617744,0.007584625
272814:4895,05/08/16 18:00:56,9,8,0.000195741,0.000155987
272815:4895,05/08/16 18:05:47,22,18,0.000472125,0.000344231
272816:4895,05/08/16 18:16:08,35,33,0.000739045,0.000462725
272818:4895,05/08/16 18:31:31,620,620,0.012643084,0.011449725
272827:4896,05/09/16 01:27:04,14,8,0.000368284,0.000025840
272828:4896,05/09/16 01:32:47,59,56,0.001447300,0.000354064
272922:4905,05/10/16 00:56:11,20,17,0.000489369,0.000092258
272923:4905,05/10/16 01:05:14,32,25,0.000783207,0.000172576
272924:4905,05/10/16 01:17:39,22,19,0.000532394,0.000000125
272925:4905,05/10/16 01:26:56,9,3,0.000202361,0.000000941
272926:4905,05/10/16 01:30:35,22,22,0.000425548,0.000000171
272927:4905,05/10/16 01:41:38,73,66,0.001743188,0.000199397
272930:4905,05/10/16 02:23:40,164,164,0.003802010,0.003518880
272936:4906,05/10/16 06:16:27,355,355,0.008636881,0.007790990
273013:4910,05/10/16 21:20:09,305,304,0.007415961,0.006617613
273017:4910,05/10/16 23:31:38,928,928,0.020137300,0.018351585
273150:4915,05/11/16 22:24:04,12,12,0.000586160,0.000388949
273158:4915,05/11/16 22:42:35,1283,1279,0.054088333,0.050641511
273290:4919,05/12/16 22:17:17,13,7,0.000597831,0.000004454
273291:4919,05/12/16 22:23:51,83,77,0.003577213,0.002783239
273292:4919,05/12/16 22:55:57,21,15,0.000949648,0.000008148
273294:4919,05/12/16 23:04:34,8,3,0.000360575,0.000000117
273295:4919,05/12/16 23:08:46,11,11,0.000494681,0.000000416
273299:4919,05/12/16 23:55:32,47,43,0.002067052,0.001769931
273301:4919,05/13/16 00:14:12,614,608,0.025349712,0.023689490
273302:4919,05/13/16 04:13:38,459,459,0.017147626,0.016450122
273402:4924,05/14/16 03:49:19,193,193,0.007022182,0.006643308
273403:4924,05/14/16 05:05:27,68,65,0.002481803,0.001837158
273404:4924,05/14/16 05:31:50,22,22,0.000797626,0.000616225
273405:4924,05/14/16 05:42:09,34,29,0.001226603,0.000840323
273406:4924,05/14/16 05:56:09,125,117,0.004440767,0.003803281
273407:4924,05/14/16 06:45:59,9,3,0.000317356,0.000000384
273408:4924,05/14/16 06:52:04,9,8,0.000315501,0.000181778
273409:4924,05/14/16 06:56:41,317,314,0.010855813,0.009512812
273410:4924,05/14/16 08:59:49,99,98,0.003294021,0.002753036
273411:4924,05/14/16 09:38:50,29,29,0.000791341,0.000741045
273425:4925,05/14/16 13:17:57,681,679,0.028740240,0.026984921
273426:4925,05/14/16 17:44:51,65,65,0.002394732,0.002055525
273445:4926,05/14/16 22:04:03,3,1,0.000210870,0
273446:4926,05/14/16 22:06:55,48,46,0.003362673,0.002161349
273447:4926,05/14/16 22:26:09,420,420,0.028037767,0.026208997
273448:4926,05/15/16 01:11:51,396,396,0.024328483,0.022865029
273449:4926,05/15/16 03:48:09,216,216,0.012516555,0.011832253
273450:4926,05/15/16 05:19:37,647,647,0.034124287,0.032675810
273492:4930,05/16/16 11:07:35,273,269,0.013170592,0.012326826
273493:4930,05/16/16 12:54:39,241,236,0.011385362,0.010582760
273494:4930,05/16/16 14:28:40,192,192,0.008782866,0.008498378
273502:4935,05/16/16 22:00:07,1005,1000,0.049773417,0.047354006
